"","IDnum","ageOfTheHouseholdHead","householdSize","farmSize","shareOfHiredLabour","commercializationIndex","totalLaborManDays","farmType","creditaccess","cropChoice","perCapitaIncome","percentNonfarmIncome","wardCode","intensificationStrategies","topgraphicWetnessIndex","distanceToBigMarket","maizePrice","RicePrice"
"252",1040,72,6,1.214058,1.9607843,1.3294336,168.03151,"Diversifier","No","RiceMaizeAndVegit",18690.475,0,83,"UseIrrigation",16.933517,2.8488955,1111.1111,1466.6666
"253",861,47,11,12.14058,64.246597,69.230766,67.693092,"AgroPastoralist","No","VegitAndRice",465000,0,61,"None",14.53652,14.76462,0,1167.816
"254",901,49,3,2.2257731,1.1904762,0,150.95879,"Subsistence","No","Rice",16800,0,23,"None",26.850933,32.455135,0,1860
"255",857,44,7,0.05058575,2.3346303,75.894783,2540.241,"Subsistence","Yes","RiceMaizeAndVegit",821855,0,61,"None",16.006372,15.569307,861.11108,1167.816
"256",925,72,2,1.416401,76.264595,0,2177.3494,"Diversifier","No","RiceAndMaize",589070.69,16.781557,83,"None",16.705652,4.0163684,805.68878,1312.6154
"257",838,42,5,3.035145,79.310349,53.262318,1223.0059,"Subsistence","Yes","RiceAndMaize",571551,0,61,"ApplyImprovedSeed",19.607719,21.22451,861.11108,1167.816
"258",989,38,7,1.821087,2.8208332,25.528811,622.93378,"Subsistence","Yes","Rice",193316.83,0,11,"None",18.864561,6.3344793,0,1247.595
"259",871,40,8,6.879662,0,43.422729,347.98221,"AgroPastoralist","No","RiceAndMaize",912036.13,0,241,"None",19.590275,48.838024,777.77777,1104.762
"260",1049,49,3,1.3152295,0.24096386,0,315.53427,"Diversifier","Yes","RiceAndMaize",121720.29,0,83,"CropMultipleTimes",14.396434,3.1201601,1111.1111,1466.6666
"261",923,40,8,1.5175725,16.666666,42.14418,138.37889,"Subsistence","Yes","RiceAndMaize",238064.55,0,83,"ApplyFertilizer",15.547224,5.7613769,805.68878,1312.6154
"262",889,43,7,8.2960634,10.455764,81.300812,134.88326,"AgroPastoralist","Yes","Rice",1337663.4,0,241,"None",18.233459,41.529434,777.77777,1104.762
"263",835,64,6,1.214058,0,26.31579,177.91571,"Diversifier","No","RiceAndMaize",96311.039,1.4027877,131,"CropMultipleTimes",17.687719,62.844769,888.88892,1138.0952
"264",940,53,4,1.1128865,25.210085,11.58674,106.92914,"Subsistence","Yes","Rice",197545.19,0,23,"None",16.64633,19.416456,611.11108,1138.2858
"265",799,48,7,0.80937201,6.6604996,46.666668,333.90085,"Subsistence","Yes","Rice",161184.34,0,121,"None",23.162054,40.070976,0,1232.2581
"266",841,32,7,4.097446,100,75.714287,42.953587,"Subsistence","No","RiceAndMaize",181022.14,0,61,"None",17.996609,22.828434,861.11108,1167.816
"267",840,45,4,4.6538892,74.816628,29.239765,87.883484,"Subsistence","Yes","RiceAndMaize",596853.44,4.8235712,61,"None",30.257118,16.121437,861.11108,1167.816
