IDnum,ageOfTheHouseholdHead,householdSize,farmSize,shareOfHiredLabour,commercializationIndex,totalLaborManDays,farmType,creditaccess,cropChoice,IfHireLabour,perCapitaIncome,percentNonfarmIncome,wardCode,intensificationStrategies,topgraphicWetnessIndex,distanceToBigMarket,maizePrice,ricePrice
1014,41,8,2.0234301,87.447701,32.456139,236.23253,Subsistence,No,Rice,Yes,429.95888,48.323952,11,UseIrrigationAndFertilizerApplication,26.420149,12.474558,0,1247.595
1015,53,9,3.9456885,19.791666,100,194.64284,Subsistence,No,Rice,Yes,74.321391,0,11,None,18.437595,12.156136,0,1247.595
1016,55,4,2.0234301,19.68504,83.333336,125.52942,Subsistence,No,Rice,Yes,259.6268,30.895832,11,ApplyImprovedSeed,26.596041,11.469936,0,1247.595
1017,37,4,2.1246016,25.992781,90,260.75476,Subsistence,No,Rice,Yes,329.34813,0,11,None,24.953814,12.719184,0,1247.595
1018,37,3,1.618744,63.082436,64.10257,517.06757,Subsistence,Yes,Rice,Yes,942.16881,9.6553402,11,ApplyImprovedSeed,28.52569,12.474558,0,1247.595
1019,26,3,1.0117151,17.105263,92.617447,751.19965,Subsistence,Yes,Rice,Yes,335.97134,0,11,ApplyFertilizer,18.750153,12.172359,0,1247.595
1020,30,3,0.70820051,45.714287,44.444443,345.94724,Subsistence,No,Rice,Yes,184.4422,0,11,None,19.01296,10.813232,0,1247.595
1021,33,3,1.3152295,43.783783,66.666664,281.3197,Subsistence,No,Rice,Yes,346.66766,0,11,None,17.014219,11.403572,0,1247.595
1022,36,7,0.60702902,50.2994,59.760956,275.11041,Subsistence,No,Rice,Yes,105.09879,0,11,UseIrrigation,26.420149,12.474558,0,1247.595
1023,43,8,2.9339736,21.276596,75.621544,96.115387,Subsistence,No,Rice,Yes,258.94069,0,11,UseIrrigationAndFertilizerApplication,26.420149,12.373553,0,1247.595
1024,43,7,1.7199155,22.580645,81.818184,270.36212,Subsistence,No,Rice,Yes,186.61247,0,11,ApplyImprovedSeed,17.30777,12.635365,0,1247.595
1025,36,3,1.1128865,45,47.477745,107.82771,Subsistence,Yes,RiceAndMaize,Yes,197.9633,0,11,None,20.085154,14.728935,944.44446,1247.595
1026,63,6,2.2257731,0.16293278,0,275.74689,Subsistence,No,RiceAndMaize,Yes,15.173597,0,11,None,16.240372,3.1588414,676.88849,1247.595
1027,50,11,13.152295,74.709976,49.383072,32.769947,AgroPastoralist,Yes,RiceAndMaize,Yes,1099.1518,0,11,None,17.875149,13.039379,944.44446,1247.595
1028,65,3,1.821087,37.161293,56.074768,70.928329,Subsistence,No,RiceAndMaize,Yes,225.02673,0,11,None,20.085154,14.728935,944.44446,1247.595
1029,60,3,0.60702902,3.515625,0,421.72614,Subsistence,No,Rice,Yes,194.37777,0,83,None,15.142417,3.2207074,0,1466.6666
1030,43,6,0.9105435,4.1095891,66.666664,240.51569,Subsistence,No,Rice,Yes,113.36666,0,83,None,16.476219,2.8771732,0,1466.6666
1031,51,2,0.9105435,49.301395,51.063831,550.22083,Diversifier,No,RiceAndMaize,Yes,854.15238,0,83,CropMultipleTimes,18.32634,2.919076,1111.1111,1466.6666
