ageOfTheHouseholdHead	householdSize	farmSize	shareOfHiredLabour	commercializationIndex	totalLabourManDays	farmType	creditaccess	cropChoice	perCapitaIncome	percentNonfarmIncome	topgraphicWetnessIndex	distanceToBigMarket	None	CropMultipleTimes	ApplyFertilizer	ApplyImprovedSeed	UseIrrigationAndFertilizerApplication	UseIrrigation	Other
44	1	5.79	95	37.89	465.18	 Subsistence	 Yes	 VegitAndRice	3235957	40.31	17.66	9.72	0.49619	0.11536	0.24840	0.03641	0.08410	0.00978	0.00976
27	10	14.94	31	33.59	238.16	 Diversifier	 Yes	 Rice	3445192	46.7	23.84	50.65	0.29510	0.29140	0.13130	0.00811	0.01495	0.00288	0.25625
31	2	14.42	5	48.83	434.39	 Subsistence	 Yes	 Maize	1537462	28.55	19.2	20.38	0.00590	0.55739	0.24616	0.04768	0.01534	0.02792	0.09960
34	10	2.3	41	43.75	103.5	 Diversifier	 Yes	 Maize	2288246	76.26	31.57	55.73	0.78624	0.17569	0.01296	0.00391	0.01641	0.00040	0.00439
32	3	1.34	32	14.45	80.41	 Subsistence	 Yes	 Rice	1586694	37.96	18.2	18.68	0.81999	0.03667	0.10911	0.00319	0.01370	0.01368	0.00366
56	6	8.75	50	50	507.5	 Diversifier	 No	 VegitAndRice	1992856	43	23.1	32	0.45514	0.24812	0.08268	0.12939	0.02886	0.03132	0.02447
63	2	7.2	39	37.11	115.04	 Subsistence	 Yes	 RiceMaizeAndVegit	3359036	65.51	25.05	59.13	0.25618	0.22138	0.17346	0.17071	0.01401	0.00978	0.15448
81	7	3.14	4	28.13	476.72	 Subsistence	 Yes	 VegitAndRice	1648233	32.25	18.93	1	0.48585	0.18983	0.07089	0.01762	0.18130	0.01087	0.04364
78	5	15.07	44	3.91	199.69	 Subsistence	 Yes	 RiceAndMaize	2423633	68.53	27.47	55.01	0.03772	0.20111	0.15004	0.49354	0.05303	0.00609	0.05847
62	9	10.43	37	26.95	265.1	 Subsistence	 Yes	 RiceMaizeAndVegit	1845160	5.38	18.26	3.18	0.11332	0.26655	0.14332	0.21085	0.04888	0.01855	0.19854
65	5	6.88	59	7.03	218.93	 Subsistence	 Yes	 Maize	995913	78.61	30.76	43.14	0.03532	0.14630	0.38708	0.23930	0.09975	0.00975	0.08249
60	7	1.21	84	13.67	107.34	 Diversifier	 Yes	 RiceAndMaize	2128243	13.77	18.6	10.93	0.64946	0.20550	0.01333	0.05784	0.05967	0.00779	0.00641
85	5	9.72	88	48.44	488.26	 Subsistence	 Yes	 RiceAndMaize	1722081	85.66	27.06	43.87	0.11623	0.27109	0.32359	0.16632	0.03574	0.00821	0.07882
63	11	10.94	60	7.42	268.95	 Diversifier	 Yes	 VegitAndRice	3346728	46.02	22.56	12.87	0.55969	0.08478	0.12157	0.05665	0.02879	0.03156	0.11695
83	6	1.66	37	61.33	226.62	 Diversifier	 Yes	 RiceMaizeAndVegit	2362094	4.7	27.74	34.66	0.15379	0.14542	0.02486	0.67079	0.00351	0.00050	0.00114
57	10	2.76	28	95.7	399.77	 Diversifier	 Yes	 Rice	1205148	51.4	19.94	16.02	0.29407	0.08615	0.26442	0.10299	0.18287	0.02002	0.04946
79	2	9.01	4	55.86	503.65	 Subsistence	 Yes	 Rice	2669792	30.57	28.07	49.92	0.15482	0.32835	0.18192	0.21029	0.03493	0.01562	0.07406
84	10	15.78	27	63.28	342.05	 Subsistence	 Yes	 VegitAndRice	454364	48.38	23.23	2.21	0.03997	0.16367	0.08305	0.03096	0.55563	0.01168	0.11504
