,IDnum,ageOfTheHouseholdHead,householdSize,farmSize,shareOfHiredLabour,commercializationIndex,totalLaborManDays,farmType,creditaccess,cropChoice,IfHireLabour,perCapitaIncome,percentNonfarmIncome,wardCode,intensificationStrategies,topgraphicWetnessIndex,distanceToBigMarket,maizePrice,RicePrice,fold
88,847,25,2,1.0117151,100,73.333336,142.33257,Subsistence,Yes,Rice,Yes,289396.5,0,61,None,17.979952,22.825108,0,1167.816,3
89,848,52,6,3.1363165,1.8404908,14.551805,103.94359,Subsistence,Yes,Rice,Yes,392126.41,0,61,None,26.979765,15.780746,0,1167.816,7
90,849,53,7,1.9222585,5.036726,37.774376,247.8855,Diversifier,No,Maize,Yes,256857.14,2.5075226,61,CropMultipleTimes,17.652424,24.36923,861.11108,0,10
91,850,52,4,1.821087,21.923986,46.878067,405.75583,Diversifier,No,Maize,Yes,64649.211,0,61,None,17.370804,24.274155,861.11108,0,7
92,851,47,6,1.416401,2.7027028,47.684444,156.73528,Diversifier,No,RiceMaizeAndVegit,Yes,379679.03,0,61,ApplyFertilizer,17.576656,24.094007,861.11108,1167.816,8
93,853,38,4,0.9105435,0.62630481,55.555557,1052.1189,Subsistence,Yes,Rice,Yes,447596.38,17.364786,61,ApplyImprovedSeed,14.700771,14.711404,0,1167.816,7
94,854,51,4,1.618744,1.3605442,11.940299,181.6223,Diversifier,Yes,RiceAndMaize,Yes,108895.25,0,61,ApplyImprovedSeed,26.494257,19.674561,861.11108,1167.816,4
95,855,49,4,2.4281161,26.086956,49.629631,132.6131,Diversifier,No,RiceAndMaize,Yes,2109099,5.2941446,61,ApplyFertilizer,18.740238,21.982216,861.11108,1167.816,1
96,856,31,3,2.6300001,78.350517,85.555557,36.882126,Diversifier,No,VegitAndRice,Yes,647067.5,0,61,ApplyImprovedSeed,17.221857,14.517167,0,1167.816,1
97,857,44,7,0.05058575,2.3346303,75.894783,2540.241,Subsistence,Yes,RiceMaizeAndVegit,Yes,821855,0,61,None,16.006372,15.569307,861.11108,1167.816,2
98,858,35,3,1.618744,15.544043,12.698413,79.485489,Diversifier,No,RiceAndMaize,Yes,440672.41,0,61,None,15.32487,14.670762,861.11108,1167.816,6
99,859,74,4,3.3386595,99.009903,25.149626,121.00665,Subsistence,Yes,VegitAndRice,Yes,356906,16.912334,61,None,16.528711,14.649017,0,1167.816,5
100,860,31,4,6.677319,1.459854,11.606782,41.034431,Diversifier,No,RiceAndMaize,Yes,464991.38,26.738379,61,None,17.400471,15.116503,861.11108,1167.816,7
101,861,47,11,12.14058,64.246597,69.230766,67.693092,AgroPastoralist,No,VegitAndRice,Yes,465000,0,61,None,14.53652,14.76462,0,1167.816,6
102,862,36,5,1.821087,61.855671,54.253658,106.52978,Subsistence,No,RiceAndMaize,Yes,21580.371,0,61,None,14.449434,14.445888,861.11108,1167.816,7
103,863,49,4,3.3386595,10.895884,62.962963,123.70234,Subsistence,No,Rice,Yes,430350.28,0,61,None,19.353886,20.091663,0,1167.816,8
104,864,33,3,0.9105435,43.686008,55.555557,643.57166,Subsistence,No,Rice,Yes,350517.22,0,61,None,18.851658,21.762909,0,1167.816,6
105,869,61,6,2.1246016,36.363636,32.64418,62.129295,Subsistence,No,Rice,Yes,801666.06,0,241,None,16.699018,49.398434,777.77777,1104.762,8
106,871,40,8,6.879662,0,43.422729,347.98221,AgroPastoralist,No,RiceAndMaize,No,912036.13,0,241,None,19.590275,48.838024,777.77777,1104.762,3
107,872,70,8,0.1011715,0,18.613138,1897.7676,Subsistence,No,RiceAndMaize,No,56785.719,0,241,None,16.342344,49.563278,777.77777,1104.762,8
108,873,50,11,8.9030924,0,7.4437823,176.11858,AgroPastoralist,No,RiceMaizeAndVegit,No,211561.61,0,241,None,18.347677,49.334061,777.77777,1104.762,1
109,874,46,11,7.689034,0,0,43.340946,AgroPastoralist,No,RiceAndMaize,No,105558.45,0,241,None,18.437595,49.455452,777.77777,1104.762,8
110,875,50,4,8.9030924,0.47114253,57.142857,95.360123,AgroPastoralist,No,RiceAndMaize,Yes,905000.13,0,241,None,28.993935,48.845688,777.77777,1104.762,6
111,876,64,11,0.1011715,2.1505377,70.731705,2757.6936,Diversifier,No,RiceAndMaize,Yes,290909.09,0,241,None,18.571461,49.692764,777.77777,1104.762,5
112,877,45,8,4.1480317,29.779692,21.428572,238.00446,Subsistence,No,Rice,Yes,644375.06,0,241,None,17.15732,49.333759,0,1104.762,10
113,879,33,5,3.237488,7.3496661,46.875,277.37555,Subsistence,No,Rice,Yes,977371.5,0,241,None,19.01296,41.427082,0,1104.762,8
114,880,56,4,1.0117151,66.666664,74.817139,177.91571,Subsistence,No,Rice,Yes,328862.38,0,241,None,16.24103,41.545147,0,1104.762,7
115,882,52,11,21.448359,66.786354,40,51.938705,AgroPastoralist,No,RiceAndMaize,Yes,5755963.5,24.994587,241,None,18.515762,42.113094,805.68878,946.66669,8
116,883,31,7,0.404686,100,41.13924,963.71014,Subsistence,No,RiceAndMaize,Yes,211040.86,0,241,None,23.567518,44.939392,777.77777,1104.762,7
117,884,36,11,9.7124643,57.798164,21.621622,101.00423,AgroPastoralist,No,RiceAndMaize,Yes,1027857.2,0,241,None,18.593428,41.708519,777.77777,1104.762,4
118,885,52,11,4.0468602,5.531775,25,31.269096,AgroPastoralist,No,RiceAndMaize,Yes,291115.84,0,241,None,18.7661,42.654026,805.68878,946.66669,3
119,886,39,4,5.7161899,72.222221,0,113.36223,AgroPastoralist,No,Rice,Yes,15712500,91.893127,241,None,16.705652,42.163525,0,946.66669,3
120,887,47,11,8.9030924,0,28,125.79899,AgroPastoralist,Yes,RiceAndMaize,No,169469.3,0,241,None,18.171989,41.005135,805.68878,946.66669,6
121,888,70,11,6.7784905,6.4516129,0,128.05211,AgroPastoralist,No,Rice,Yes,396948.09,0,241,None,18.180967,41.586414,0,1104.762,2
122,890,46,5,1.3152295,2.4539878,75,247.86548,Subsistence,No,Rice,Yes,266320,0,23,None,18.950504,33.099644,0,1860,5
123,891,29,4,1.3152295,1.591512,66.666664,573.28394,Subsistence,Yes,Rice,Yes,167450,0,23,None,19.217382,32.679646,0,1860,5
124,893,24,3,1.124,51.724136,86.666664,103.20285,Subsistence,No,Rice,Yes,655833.31,11.801897,23,None,18.926693,33.118904,0,1860,2
125,894,44,4,1.2646438,100,87.532471,185.03233,Diversifier,No,VegitAndRice,Yes,605875,26.512012,23,ApplyFertilizer,17.892941,33.606655,0,1860,5
126,895,35,7,2.4281161,45.525291,20.588236,105.84338,Subsistence,Yes,Rice,Yes,666428.56,5.9488401,23,None,18.839085,33.006721,0,1860,9
127,896,50,5,0.404686,0.23774146,54.054054,1039.3861,Subsistence,No,RiceAndMaize,Yes,1014612,0,23,None,27.196295,31.642347,805.68878,1860,6
128,897,29,3,1.214058,33.870968,44.117645,51.068398,Subsistence,No,Rice,Yes,662666.69,0,23,None,21.315128,32.141811,0,1860,3
129,898,26,4,1.3152295,100,66.666664,404.49213,Subsistence,Yes,Rice,Yes,322875,0,23,None,18.950504,34.091888,0,1860,5
130,899,39,10,12.342923,25.161291,66.666664,100.46243,AgroPastoralist,Yes,Rice,Yes,822900,12.539185,23,None,26.899723,33.184685,0,1860,8
131,900,55,6,4.1480317,1.8518518,25,156.21867,Subsistence,Yes,Rice,Yes,98446.398,0,23,None,18.770533,32.730236,805.68878,1860,3
132,901,49,3,2.2257731,1.1904762,0,150.95879,Subsistence,No,Rice,Yes,16800,0,23,None,26.850933,32.455135,0,1860,9
133,902,48,6,3.3386595,78.571426,52.63158,670.92798,Subsistence,No,Rice,Yes,635866.38,0,23,ApplyImprovedSeed,18.938669,35.014027,0,1860,9
134,903,49,6,4.0468602,74.611397,61.363636,47.691296,Subsistence,No,Rice,Yes,234500,29.481133,23,None,18.618727,32.666481,0,1860,9
135,904,46,7,2.4281161,0.42462844,47.95137,193.97754,Subsistence,No,Rice,Yes,613505.69,0,23,None,19.040453,33.248669,0,1860,2
136,905,47,5,4.3503747,73.426575,38.230087,65.741463,Subsistence,No,RiceAndMaize,Yes,451602.84,38.403408,23,ApplyFertilizer,17.633652,23.394173,611.11108,1138.2858,4
137,906,51,4,1.821087,3.5190616,13.993175,374.50159,Subsistence,No,RiceAndMaize,Yes,317294.16,0,23,None,24.78945,23.570866,611.11108,1138.2858,1
138,907,41,4,0.60702902,0,35.714287,929.11536,Subsistence,No,Rice,No,432800,31.905195,23,None,27.403379,23.588245,0,1138.2858,10
139,908,61,3,1.214058,6.5573769,48.3559,251.22357,Subsistence,No,Rice,Yes,238970.52,0,23,ApplyImprovedSeed,17.633652,23.494534,676.88849,1138.2858,5
140,909,42,7,0.60702902,0.28248587,64.110428,583.16815,Subsistence,No,Rice,Yes,215933.14,0,23,CropMultipleTimes,15.142417,23.570866,0,1138.2858,7
141,910,40,3,0.80937201,58.131489,39.644283,357.06696,Subsistence,No,VegitAndRice,Yes,731029.44,20.479792,23,None,30.372133,23.381191,0,1138.2858,5
142,911,34,4,1.214058,0.36101082,86.666664,228.16043,Subsistence,No,Rice,Yes,247878.91,0,23,ApplyFertilizer,31.711229,23.475788,0,1138.2858,1
143,912,44,6,8.0937204,1.369863,57.912457,36.077351,Subsistence,No,Rice,Yes,648986.44,22.463392,23,ApplyImprovedSeed,25.801111,23.381191,0,1138.2858,5
144,913,43,6,0.60702902,17.006804,46.067413,242.16306,Subsistence,Yes,Rice,Yes,323555.97,0,23,ApplyImprovedSeed,27.403379,23.487856,0,1138.2858,9
145,915,68,4,1.416401,6.9868994,45.085663,323.35474,Subsistence,No,Rice,Yes,269875,0,23,UseIrrigation,17.147486,23.30098,0,1860,3
